emp_no,first_name,last_name,gender,salary,to_date
14928,Satoru,Mukaidono,F,53377,1/1/99
15055,Shrikanth,Sherertz,M,40000,1/1/99
15066,Tomokazu,Oaver,M,43455,1/1/99
14941,Nathan,Lichtner,M,43608,1/1/99
14942,Heon,Benveniste,M,40000,1/1/99
14949,Insup,Reinhart,F,44930,1/1/99
14954,Fox,Magliocco,F,43510,1/1/99
14971,Fan,Simmen,M,55187,1/1/99
14983,Hyuckchul,Pouyioutas,M,86754,1/1/99
14993,Sanjay,Koblitz,M,45407,1/1/99
15193,Neelam,Schach,M,47039,1/1/99
15196,Souichi,Duclos,M,55824,1/1/99
15202,Pranay,Irland,M,40000,1/1/99
15208,Sudharsan,Shokrollahi,F,44109,1/1/99
15218,Shuky,Conry,M,44614,1/1/99
15228,Mona,Salvesen,M,40000,1/1/99
15230,Keiichiro,Suessmith,F,70187,1/1/99
15234,Jouko,Zhiwei,F,47654,1/1/99
15237,Reinhard,Sadowsky,M,40000,1/1/99
15243,Mountaz,Famili,F,41015,1/1/99
15248,Edwin,Baar,M,64696,1/1/99
15253,Ayonca,Pardalos,M,40396,1/1/99
15269,Eric,Reghbati,F,60930,1/1/99
15271,Shiv,Bernardeschi,F,88026,1/1/99
15069,Manton,Siksek,M,40000,1/1/99
15071,Ayonca,Couchot,F,97484,1/1/99
15075,Radoslaw,Rijsenbrij,M,40000,1/1/99
15292,Miyeon,Lammel,M,87586,1/1/99
15077,Toshiki,Taubenfeld,F,40000,1/1/99
15082,Guadalupe,Zirintsis,F,63024,1/1/99
